"","store_nbr","item_nbr","NWRMSLE"
"1",3,205209,0.475107682034311
"2",3,583795,0.795411963779477
"3",3,583968,0.508630904955845
"4",3,584028,0.204173315428114
"5",3,623316,0.312519498852624
"6",3,583925,0.61315217452603
"7",44,205209,0.450293685793067
"8",44,583795,0.701878153189866
"9",44,583968,0.516452957092429
"10",44,584028,0.415406717769282
"11",44,623316,0.278396871347121
"12",44,583925,0.308581763811078
"13",45,205209,NA
"14",45,583795,0.432185054910273
"15",45,583968,0.386943259948018
"16",45,584028,0.450524889046444
"17",45,623316,0.247763460942456
"18",45,583925,0.475332822577389
"19",47,205209,NA
"20",47,583795,0.500810315203401
"21",47,583968,0.601396986034741
"22",47,584028,0.207585234983383
"23",47,623316,0.360250313557478
"24",47,583925,0.512976911912743
